Rank,Games Career,Games Team,Date,Team,Unnamed: 5_level_1,Opp,Result,DEC,MIN,Goals Against,Saves,Shots,Save Percentage,PIM,Games Played,A,PTS,Wins,GP,Goals Against Average,Win Percentage,Raw Score,Efficiency,Year
167,167,3,2008-04-13,NJD,@,NYR,W 4-3 (OT),1-0-0,65:44,3,27,30,0.9,0,0,0,0,1,1,3.0,1.0,187.0,93.5,2008
168,168,4,2008-04-16,NJD,@,NYR,L 3-5,0-1-0,59:22,4,34,38,0.895,0,0,0,0,0,1,4.0,0.0,85.5,42.75,2008
169,169,5,2008-04-18,NJD,,NYR,L 3-5,0-1-0,59:00,4,18,22,0.818,0,0,0,0,0,1,4.0,0.0,77.8,38.9,2008
170,170,1,2009-04-15,NJD,,CAR,W 4-1,1-0-0,59:43,1,18,19,0.947,0,0,0,0,1,1,1.0,1.0,193.7,96.85,2009
171,171,2,2009-04-17,NJD,,CAR,L 1-2 (OT),0-1-0,62:40,2,30,32,0.938,0,0,0,0,0,1,2.0,0.0,91.8,45.9,2009
172,172,3,2009-04-19,NJD,@,CAR,W 3-2 (OT),1-0-0,64:58,2,28,30,0.933,2,0,0,0,1,1,2.0,1.0,191.3,95.65,2009
173,173,4,2009-04-21,NJD,@,CAR,L 3-4,0-1-0,59:58,4,42,46,0.913,0,0,0,0,0,1,4.0,0.0,87.3,43.65,2009
174,174,5,2009-04-23,NJD,,CAR,W 1-0,1-0-0,59:49,0,44,44,1.0,2,0,0,0,1,1,0.0,1.0,200.0,100.0,2009
175,175,6,2009-04-26,NJD,@,CAR,L 0-4,0-1-0,60:00,4,33,37,0.892,0,0,0,0,0,1,4.0,0.0,85.2,42.6,2009
176,176,7,2009-04-28,NJD,,CAR,L 3-4,0-1-0,59:33,4,27,31,0.871,0,0,0,0,0,1,4.0,0.0,83.1,41.55,2009
177,177,1,2010-04-14,NJD,,PHI,L 1-2,0-1-0,58:37,2,12,14,0.857,0,0,0,0,0,1,2.0,0.0,83.7,41.85,2010
